type,name,label::English (en),label::Nepali (ne),hint::English (en),hint::Nepali (ne),required,appearance,constraint,relevant,calculation,default,repeat_count,choice_filter,parameters
select_one apply,risk,I am willing to take risks,म जोखिम उठाउन तयार छु।,,,,minimal,,,,,,,
end_group,,,,,,,,,,,,,,
begin_group,control,Internal-external locus of control scale,Internal-external locus of control scale,,,,field-list,,${likertpassed} = ‘yes’,,,,,
select_one apply,control1,"If I work hard, I will succeed.","यदि मैले मेहनत गरे, म सफल हुन्छु।",,,,minimal,,,,,,,
select_one apply,control2,I’m my own boss.,म आफ्नो मालिक आँफै हुँ।,,,,minimal,,,,,,,
select_one apply,control3,Fate often gets in the way of my plans.,भाग्यले अक्सर मेरो योजना सफल हुन दिँदैन।,,,,minimal,,,,,,,
select_one apply,control4,Whether at work or in my private life: What I do is mainly determined by others.,काममा होस् वा व्यक्तिगत जीवन: मैले के गर्ने भन्ने कुरा प्रायः अरूले निर्धारण गर्छन्।,,,,minimal,,,,,,,
end_group,,,,,,,,,,,,,,
select_one apply,status,People can substantially change their status in society.,मानिसहरूले समाजमा आफ्नो स्थिति उल्लेखनीय रूपमा परिवर्तन गर्न सक्छन्।,,,,minimal,,${likertpassed} = ‘yes’,,,,,
begin_group,trustandmobility,,,,,,field-list,,${likertpassed} = ‘yes’,,,,,
select_one trustopt1,trust1,"Generally speaking, would you say that most people can be trusted or that you need to be very careful in dealing with people?","सामान्यतया भन्ने हो भने, के तपाईंलाई लाग्छ कि मानिसहरूसँग व्यवहार गर्दा धेरै सावधान हुनुपर्छ, वा प्रायः मानिसहरूलाई विश्वास गर्न सकिन्छ?",,,,minimal,,,,,,,
select_one trustopt2,trust2,"Do you think most people would try to take advantage of you if they got a chance, or would they try to be fair?","तपाईंलाई के लाग्छ, अधिकांश मानिसहरूले मौका पाएमा तपाईंसँग निष्पक्ष हुन प्रयास गर्लान् कि तपाईंको फाइदा उठाउने प्रयास गर्लान्?",,,,minimal,,,,,,,
select_one trustopt3,trust3,"Would you say that most of the time people try to be helpful, or that they are mostly just looking out for themselves?","तपाईंलाई के लाग्छ, मानिसहरू प्रायः आफ्नै फाइदाको लागि मात्र सोच्छन्, कि धेरै जस्तो समय मानिसहरू सहयोग गर्ने प्रयास गर्छन्?",,,,minimal,,,,,,,
select_one hardworkopt,hardwork,"Would you say that in the long run, hard work usually brings a better life, or that hard work doesn't generally bring success - it's more a matter of luck and connections.","तपाईंलाई के लाग्छ – कडा परिश्रमले सामान्यतया सफलता पाइँदैन, यो मुख्यतः भाग्य र  चिनजानको कुरा हो, वा लामो समयसम्मको कडा परिश्रमले नै जीवन राम्रो हुन्छ?",,,,minimal,,,,,,,
end_group,,,,,,,,,,,,,,
begin_group,laddercomp,,,,,,field-list,,,,,,,
note,laddercompnote,"Please look at this small ladder that I have brought. It is just like a real ladder, the kind we use to climb to get to high places. If I hold it this way, can you show me where the lowest run is on the ladder? And can you show me where the highest one is?","कृपया मैले ल्याएको यो सानो भर्याङ हेर्नुहोला। यो बिलकुल वास्तविक भर्याङ जस्तै छ, जसलाई हामी अग्लो ठाउँमा चढ्न प्रयोग गर्छौं। यदि मैले यसलाई यसरी समाते भने, तपाईं मलाई भर्याङको सबैभन्दा तल्लो खुड्किलो कहाँ छ भनेर देखाउन सक्नुहुन्छ? अनि भर्याङको सबैभन्दा माथिल्लो खुड्किलो कहाँ छ भनेर पनि देखाउन सक्नुहुन्छ?",,,,,,,,,,,
select_one yesno,laddercomppassed,Did the respondent pass the comprehension check?,Did the respondent pass the comprehension check?,,,,,,,,,,,
end_group,,,,,,,,,,,,,,
begin_group,macarthurladder,MacArthur Ladder,MacArthur Ladder,,,,field-list,,,,,,,
note,laddernote,"At the top of the ladder are the people who are the best off, those who have the most money, most education, and best jobs. At the bottom are the people who are the worst off, those who have the least money, least education, worst jobs, or no job. Please show me the rung that best represents where you think you stand on the ladder in your village.","भर्‍याङको माथिल्लो भागमा राम्रो स्थितिमा रहेका मानिसहरू छन्—जससँग सबैभन्दा धेरै पैसा, शिक्षा, र राम्रो जागिर छ। तलको भागमा सबैभन्दा खराब स्थितिमा रहेका मानिसहरू छन्—जससँग कमै पैसा, कम शिक्षा, र खराब वा कुनै जागिर छैन। गाउँमा तपाईं यो भर्‍याङमा कहाँनिर हुनुहुन्छ भनेर देखाउनुहोस्।","Each rung of the ladder corresponds with numbers from 1 through 10. If a participant marks an “X” on the bottom rung, their response is scored as 1. If they mark an “X” on the middle rung, their response is scored as 5. If they mark an “X” on the top rung, their response is scored as 10.","Each rung of the ladder corresponds with numbers from 1 through 10. If a participant marks an “X” on the bottom rung, their response is scored as 1. If they mark an “X” on the middle rung, their response is scored as 5. If they mark an “X” on the top rung, their response is scored as 10.",,,,${laddercomppassed} = ‘yes’,,,,,
integer,rung,Note the number of the rung (1-10)  which the respondent indicated.,Note the number of the rung (1-10)  which the respondent indicated.,,,,,. >= 1 and . <= 10,${laddercomppassed} = ‘yes’,,,,,
end_group,,,,,,,,,,,,,,
begin_group,edu,,,,,,,,,,,,,
select_one edu,selfedu,What is the highest grade that you have completed?,तपाईंले पूरा गर्नुभएको सबैभन्दा उच्च कक्षा कुन हो?,"Select the highest grade completed, not attended. So select 10 only if SLC was passed.","Select the highest grade completed, not attended. So select 10 only if SLC was passed.",,minimal,,,,,,,
select_one edu,fatheredu,What is the highest grade that your father has completed?,तपाईंका बुबाले पूरा गर्नुभएको सबैभन्दा उच्च कक्षा कुन हो?,"Select the highest grade completed, not attended. So select 10 only if SLC was passed.","Select the highest grade completed, not attended. So select 10 only if SLC was passed.",,minimal,,,,,,,
select_one edu,motheredu,What is the highest grade that your mother has completed?,तपाईंकी आमाले पूरा गर्नुभएको सबैभन्दा उच्च कक्षा कुन हो?,"Select the highest grade completed, not attended. So select 10 only if SLC was passed.","Select the highest grade completed, not attended. So select 10 only if SLC was passed.",,minimal,,,,,,,
end_group,,,,,,,,,,,,,,
